sentiment,text
0,"b""I've spent all day watching bad basketball featuring missed open shots, dumb turnovers, nonsensical passes, inexpli https://t.co/Ym8GeNZssK"""
0,b'Three teams out there tonight 76 okay Raps okay REFS JUST SUCK THIS IS THE MOST HORRIBLE REF LEAGUE NEXT TO SOCCER https://t.co/suoCrzWbTy'
0,"b'Watchin NBA playoffs...very DISAPPOINTED!  Whatever happened to playing TEAM defenses?  Also, I thought they abolis https://t.co/yIurMJUwcZ'"
0,"b'RT @MacDotMillions: Damn NBA Youngboy done got shot at in Miami, Thug got shot at in Miami, Kodak got arrested arriving to his set. Jay Da'"
0,b'RT @overtime: Dames mom was there to watch him win Game 7 on Mothers Day  (via @NBA) https://t.co/XwzeASCKC0'
0,b'RT @Akademiks: Reports are saying NBA Youngboy was shot at and his girlfriend got hit then his bodyguard may have killed the shooter. Here'
0,b'Cancel this festival'
0,b'RT @afroamericunt: Why yall celebrating a kid getting shot https://t.co/9LqzrOLynr'
0,"b'RT @MalcolmXElliott: We all saw Paul George SNAP HIS LEG IN HALF on national tv, come back and drop 30 a game, lead the NBA in steals, and'"
0,b'good luck to both teams in that nba game i dont care about anymore #GameofThrones'
0,b'When did the NBA get so soft everythings a foul'
0,b'@ryan_pep37 I guess but Philly is not exactly scary.  Is there a more overrated player in the NBA than Jimmy Butler?'
0,b'RT @BlogBoy_KD: Why would we pay to see KD whoop LeBrons ass 1 on 1 when we could just rewatch the last two Finals? https://t.co/PSrLSg4vmk'
0,b'RT @knicks_tape99: This was the funniest series in nba history https://t.co/jG6y0yNuiq'
0,"b""Wondering why the @nba didn't push Milwaukee harder the way they did making the other 3 series battles! Hope the https://t.co/EHlkJZTtuy"""
0,"b""RT @DeboBreaks: Let's switch it up! Where are my NBA Card people? Where are my Lakers card people? HOF people? #01 card people?? Retweet fo"""
0,b'Maybe the worst call of the entire NBA season. '
0,b'RT @TomCrean: May is not an off-month for Basketball players that have Big Dreams. Its a SEPARATION month. @VicOladipo was in the gym in M'
0,"b'@woke_hoover We have those rings not crying. But seriously, when has the NBA stepped in to stop a trade?'"
0,b'NBA ratings just down...'
0,b'RT @soIoucity: good luck to both teams in that nba game i dont care about anymore #GameofThrones'
0,"b'RT @jaycritchNY: Conspiracy theory niggas after Offset ,NBA Youngboy and Young Thug all got shot at in the same week https://t.co/BhrCghJ34O'"
0,"b""RT @jtylerconway: I've spent all day watching bad basketball featuring missed open shots, dumb turnovers, nonsensical passes, inexplicable"""
0,b'RT @legsanity: im embarrassed for NBA officials that fall for Kyle Lowrys BS'
0,b'Lol fuck this NBA shit GoT on now'
0,b'@thewarrenwelsh Blazers won &amp; covered. Nba only allows one doggy dog dog per day'
0,b'Why the Currys should root for Seths Blazers to beat Warriors https://t.co/YCYCrES5xo'
0,b'@trailblazers @NBA That boy was geeking  congrats Dame'
0,"b'RT @damanr: If you start tweeting Game of Thrones during THIS kind of a game, youre not NBA Twitter. Smh'"
0,b'Niggas bout to break there neck goin back n fourth from NBA and #GOT'
0,b'@SimpleManRadio @BobbySkinnerNFL The nba kind of sucks'
0,b'Danm wtf is this'
0,"b'RT @KrisOddsShark: Watching NBA players flop around makes me sick. \n\nGasol taps Embiid on the head and a a 7-foot, 250lb man goes down like'"
0,b'He makes me feel I could be in the NBA '
0,"b'Sorry NBA, ya dont have dragons. #GameofThrones #NBAPlayoffs'"
0,b'@KingJames 6 nba finals lost. 2 sweeps. '
0,b'Weirdo'
0,b'the nba isnt going to let us win this one lmao. fucking horseshit'
0,b'RT @CardiacKembaa: Who is the most overhated player in the NBA? https://t.co/Gtox8UMNBU'
0,b'id be the asshole to rate her a 2 still'
0,b'RT @OBEY_heem24: Lol fuck this NBA shit GoT on now'
0,b'Youth football coach&lt;&lt;&lt;&lt;&lt;&lt;&lt;NBA player'
0,b'RT @NBA: Gary Harris flips up the circus shot... and it drops! #NBAPlayoffs\n\n#MileHighBasketball 72\n#RipCity 71\n\n Headed to the 4th on #NBA'
0,b'I swear GoT is really messing with NBA playoffs viewership'
0,b'@pack_o_5 Fuck the scripted NBA. Dracarys'
0,b'Why would the nba put GOT fans in this horrible bind'
0,b'RT @rashidlogan: Do I watch Game 7 of an NBA Playoff game or GOT? I think we all know the answer to that! #GameOfThrones'
0,b'This NBA summer finna be LIT'
0,b'So many in this industry are involved in violence.'
0,b'The under is getting crushed and as a result I am crushing my liver'
0,b'@_LeanneD NBA game hun. Sorry.'
0,b'RT @gifdsports: I really hate the NBA for scheduling this game while GoT is on https://t.co/G6IDIx1XPY'
0,b'i hate yall '
0,b'@Enes_Kanter smashed on the @nuggets Jamal Murray and the joker without even drinking water during the game  oh m https://t.co/FmEUtZwcoI'
0,"b""Aren't those games like 10mins game and 90 adverts??"""
0,"b'#NBAPlayoffs RT @bearzig: Sorry NBA, ya dont have dragons. #GameofThrones #NBAPlayoffs'"
0,b'RT @bosnianbeast27: Damn.. @nba should stop the game when someone got injured?? \n \n Prayers up for brother '
0,b'Who else thinks these #NBA #Playoffs have been ALOT more fun to watch without @KingJames in them?????'
0,b'sorry nba twitter GOT is on and its game time'
0,b'everybody holding they face niggas playing peek a boo in game 7 bro NBA ass'
0,b'Bro Joel Embiid gotta be the biggest baby in the NBA'
0,"b'Id prefer @sixers to win, so @kawhileonard can announce his move to @Lakers sooner #Lakers #LeBron @NBA'"
0,b'Hot take: \n\nNBA players are the new Soccer players'
0,b'RT @RellySZN: everybody holding they face niggas playing peek a boo in game 7 bro NBA ass'
0,b'A real trap'
0,b'These current nba players just love to fall onto the floor man.  Its unreal #NBAPlayoffs'
0,b'Why do 6 foot 5+ nba players fall over when they get poked in the eye or finger tapped on the face? My lord this is trash.'
0,b'You can tell which players in the NBA get playtime during the playoffs based off how good their hair looks'
0,b'Yo @NBA pause the game real quick.. Game of Thrones is on'
0,"b""@SLCHershey It's part of why I just don't like the NBA any more. Small market teams (and Utah especially) just can' https://t.co/Nn63dcew3Y"""
0,b'Worst take of the NBA Season so far'
0,b'Gasol daring nba to call game same for both teams'
0,b'Lmaooo NBA playoffs just lost 10 million viewers lol niggas cut off a game 7 lmaooo gooooooaaaaat'
0,b'RT @nodontjosh: Gasol is either the strongest player in the NBA or Embiied is the weakest person in the NBA. For him to fall on that play.'
0,b'nba niggas so soft bruh .. shi annoying'
0,"b'Really wanted to watch this, but its time for Thrones!! Shame on the NBA schedulers #PHIvsTOR https://t.co/8l048a1gZQ'"
0,b'How Ben Simmons make it to the nba with no jumper????'
0,b'Damnnn'
0,b'Flagrant. Going by NBA standards'
0,b'NBA so soft smh'
0,b'RT @MexicoAllen: Lmaooo NBA playoffs just lost 10 million viewers lol niggas cut off a game 7 lmaooo gooooooaaaaat'
0,b'i know the @NBA didnt think i was gonna watch that game over #GoT'
0,b'nba wants 76ers vs bucks ECF so bad'
0,b'RT @ruben_rousseaux: Danm wtf is this https://t.co/bXqlrwlxAS'
0,b'Should be a flagrant by NBA standards.'
0,b'Sorry NBA but GoT is on'
0,b'Thats a flagrant on Marc gasol according to the nba'
0,b'RT @DarkSaber69Can: @NBA @NBAonTNT Philly flopping all over the place &amp; committing all sorts of uncalled fouls. Damn shameful!'
0,b'These NBA refs are a joke #PHIvsTOR'
0,b'@SonySixHD why arent you showing this game 7? Absurd.'
0,b'I swear NBA players are so soft'
0,b'NBA players are good at selling these eye swipes as accidental contact'
0,b'NBA players need to cut their nails'
0,b'The nba is so soft'
0,b'Game Of Thrones time fuck the NBA'
0,b'They really need to fix the NBA playoff format so the Raptors can just lose to the Celtics in the first round and s https://t.co/GtdZbX6qRs'
0,"b""NBA and soccer to be included as catagory in this year's Oscars ..."""
0,"b""Fuck the NBA if they don't call that Marc Gasol smack to the face a flagrant. Definitely way more avoidable and con https://t.co/2Cuj6lt6sL"""
0,b'NBA set the precedent last game. This should be a flagrant on Gasol'
0,b'NBA players always bitching.'
0,b'Bitch I ball like NBA'
0,b'This episode of GOT is my game 7... fuck the nba right now'
0,b'I am going to enjoy Embid being eliminated from the NBA playoffs tonight.'
0,"b'So I dont tweet much, but Joel Embiid and Ben Simmons are the biggest bitches in the NBA. No .'"
0,b'Thats a flagrant 1... same exact situation as Embiids flagrant 1 last game! #PhilaUnite #NBA'
0,b'Bro deadass Marc Gasol must have slept with these NBA officials wives'
0,b'He is the biggest bitch in the NBA.  Not sure if thats unpopular though'
0,b'@noeltoney2 NBA is fixed.  They want Toronto to win.'
0,b'OMG if they call this a flagrant...I am done with the @NBA'
0,"b'Embiid should get an Academy Award for that. Utter trash, @NBA'"
0,b'There really needs to be diving penalties in the NBA. This is hilarious.\n\n#Raptors #NBAPlayoffs'
0,b'Thats same flagrant other night #NBA'
0,b'Gasol purposefully went for the eyes suspend him now  @NBA'
0,b'NBA better right this wrong'
